clip_id,status,flags,rejects,activity,alternation_intact,detection_rate,floor,fps,frame_size,mask_rate,mean_visibility_core,measure_clip_id,n_frames,n_reps,reason,torso_len_cv,view,view_score
clip,ok,,,"{""n_segments"": 1, ""total_reps"": 4, ""exercise_s"": 14.5, ""clip_s"": 14.5, ""exercise_fraction"": 1.0, ""segments"": [{""start_s"": 0.0, ""end_s"": 14.5, ""n_reps"": 4, ""duration_s"": 14.5}]}",True,1.0,"{""a"": 0.0, ""b"": 156.0, ""inlier_ratio"": 1.0, ""method"": ""percentile"", ""n_points"": 1634}",23.976,"[640, 352]",1.0,0.9995,clip,347,4,,0.0276,oblique45,0.155
recording_2026_07_25_171125,flag,alternation:broken,,"{""n_segments"": 1, ""total_reps"": 4, ""exercise_s"": 27.1, ""clip_s"": 33.5, ""exercise_fraction"": 0.81, ""segments"": [{""start_s"": 1.6, ""end_s"": 28.7, ""n_reps"": 4, ""duration_s"": 27.1}]}",False,1.0,"{""a"": 0.0, ""b"": 218.0, ""inlier_ratio"": 1.0, ""method"": ""percentile"", ""n_points"": 2003}",30.0,"[1008, 544]",1.0,0.9999,recording_2026_07_25_171125,1005,4,,0.0606,oblique45,0.1383
recording_2026_07_25_171515,reject,alternation:missing,floor_inlier_ratio:missing;rep_count=0<4,"{""n_segments"": 0, ""total_reps"": 0, ""exercise_s"": 0, ""clip_s"": 8.7, ""exercise_fraction"": 0.0, ""segments"": []}",,1.0,,30.0,"[496, 384]",,0.999,recording_2026_07_25_171515,262,0,no exercise segment detected,0.0286,other,0.2792
video_project_2__1,reject,detection_rate=0.4607<0.95;alternation:missing,floor_inlier_ratio=0.4314<0.8;rep_count=0<4,"{""n_segments"": 1, ""total_reps"": 7, ""exercise_s"": 105.5, ""clip_s"": 122.9, ""exercise_fraction"": 0.858, ""segments"": [{""start_s"": 13.4, ""end_s"": 118.9, ""n_reps"": 7, ""duration_s"": 105.5}]}",,0.4607,"{""a"": 0.0, ""b"": 315.0, ""inlier_ratio"": 0.4313835770528684, ""method"": ""percentile"", ""n_points"": 1778}",30.0,"[1280, 720]",0.4607,0.9995,video_project_2__1,3688,0,floor inlier ratio 0.43 below 0.8,0.0881,oblique45,0.1931
video_project_2__2,reject,detection_rate=0.5554<0.95;alternation:missing,floor_inlier_ratio=0.1756<0.8;rep_count=0<4,"{""n_segments"": 1, ""total_reps"": 4, ""exercise_s"": 26.2, ""clip_s"": 67.0, ""exercise_fraction"": 0.391, ""segments"": [{""start_s"": 33.9, ""end_s"": 60.2, ""n_reps"": 4, ""duration_s"": 26.2}]}",,0.5554,"{""a"": 0.0, ""b"": 317.0, ""inlier_ratio"": 0.17563739376770537, ""method"": ""percentile"", ""n_points"": 2118}",30.0,"[1280, 720]",0.5554,0.9993,video_project_2__2,2011,0,floor inlier ratio 0.18 below 0.8,0.0629,oblique45,0.1719
video_project_2,reject,detection_rate=0.7711<0.95;alternation:missing,floor_inlier_ratio=0.4314<0.8;rep_count=0<4,"{""n_segments"": 1, ""total_reps"": 3, ""exercise_s"": 18.2, ""clip_s"": 24.9, ""exercise_fraction"": 0.73, ""segments"": [{""start_s"": 4.8, ""end_s"": 23.0, ""n_reps"": 3, ""duration_s"": 18.2}]}",,0.7711,"{""a"": 0.0, ""b"": 315.0, ""inlier_ratio"": 0.4313835770528684, ""method"": ""percentile"", ""n_points"": 1778}",30.0,"[1280, 720]",0.7711,1.0,video_project_2,747,0,floor inlier ratio 0.43 below 0.8,0.0446,other,0.3966
video_project_2mk,reject,detection_rate=0.1779<0.95;alternation:missing,floor_inlier_ratio=0.4243<0.8;rep_count=0<4,"{""n_segments"": 1, ""total_reps"": 6, ""exercise_s"": 17.4, ""clip_s"": 94.4, ""exercise_fraction"": 0.185, ""segments"": [{""start_s"": 77.0, ""end_s"": 94.4, ""n_reps"": 6, ""duration_s"": 17.4}]}",,0.1779,"{""a"": 0.0, ""b"": 285.0, ""inlier_ratio"": 0.4243203526818516, ""method"": ""percentile"", ""n_points"": 2722}",30.0,"[1280, 720]",0.1779,0.9999,video_project_2mk,2833,0,floor inlier ratio 0.42 below 0.8,0.0448,oblique45,0.1371
videoplayback__1,flag,torso_len_cv=0.2847>0.1;alternation:broken,,"{""n_segments"": 1, ""total_reps"": 6, ""exercise_s"": 20.8, ""clip_s"": 29.8, ""exercise_fraction"": 0.699, ""segments"": [{""start_s"": 9.0, ""end_s"": 29.8, ""n_reps"": 6, ""duration_s"": 20.8}]}",False,0.9972,"{""a"": 0.0, ""b"": 136.0, ""inlier_ratio"": 1.0, ""method"": ""percentile"", ""n_points"": 2108}",23.976,"[640, 352]",0.9972,0.9973,videoplayback__1,714,5,,0.2847,oblique45,0.1281
videoplayback__10,ok,,,"{""n_segments"": 1, ""total_reps"": 4, ""exercise_s"": 17.8, ""clip_s"": 18.0, ""exercise_fraction"": 0.991, ""segments"": [{""start_s"": 0.0, ""end_s"": 17.8, ""n_reps"": 4, ""duration_s"": 17.8}]}",True,1.0,"{""a"": 0.0, ""b"": 133.0, ""inlier_ratio"": 1.0, ""method"": ""percentile"", ""n_points"": 1529}",29.97,"[640, 352]",1.0,0.9997,videoplayback__10,538,4,,0.0336,side,0.0913
videoplayback__11,ok,,,"{""n_segments"": 1, ""total_reps"": 4, ""exercise_s"": 15.9, ""clip_s"": 15.9, ""exercise_fraction"": 1.0, ""segments"": [{""start_s"": 0.0, ""end_s"": 15.9, ""n_reps"": 4, ""duration_s"": 15.9}]}",True,0.9812,"{""a"": 0.0, ""b"": 145.0, ""inlier_ratio"": 1.0, ""method"": ""percentile"", ""n_points"": 1570}",29.97,"[640, 352]",0.9812,1.0,videoplayback__11,478,4,,0.0326,side,0.1082
